,auc,dcnn_domain,img_domain,orientation,id
0,0.656875,faces,100_faces_100_each,inverted,faces_1
1,0.7975,faces,100_faces_100_each,inverted,faces_2
2,0.74375,faces,100_faces_100_each,inverted,faces_3
3,0.673125,faces,100_faces_100_each,inverted,faces_4
4,0.600625,faces,100_faces_100_each,inverted,faces_5
5,0.645,faces,100_faces_100_each,inverted,faces_6
6,0.758125,faces,100_faces_100_each,inverted,faces_7
7,0.74125,faces,100_faces_100_each,inverted,faces_8
8,0.763125,faces,100_faces_100_each,inverted,faces_9
9,0.72875,faces,100_faces_100_each,inverted,faces_10
10,0.790625,faces,100_faces_100_each,inverted,faces_11
11,0.7175,faces,100_faces_100_each,inverted,faces_12
12,0.7756249999999999,faces,100_faces_100_each,inverted,faces_13
13,0.725,faces,100_faces_100_each,inverted,faces_14
14,0.799375,faces,100_faces_100_each,inverted,faces_15
15,0.79125,faces,100_faces_100_each,inverted,faces_16
16,0.764375,faces,100_faces_100_each,inverted,faces_17
17,0.80375,faces,100_faces_100_each,inverted,faces_18
18,0.649375,faces,100_faces_100_each,inverted,faces_19
19,0.729375,faces,100_faces_100_each,inverted,faces_20
20,0.66,faces,100_faces_100_each,inverted,faces_21
21,0.64,faces,100_faces_100_each,inverted,faces_22
22,0.6062500000000001,faces,100_faces_100_each,inverted,faces_23
23,0.7312500000000001,faces,100_faces_100_each,inverted,faces_24
24,0.745625,faces,100_faces_100_each,inverted,faces_25
25,0.765625,faces,100_faces_100_each,inverted,faces_26
26,0.7262500000000001,faces,100_faces_100_each,inverted,faces_27
27,0.71125,faces,100_faces_100_each,inverted,faces_28
28,0.73875,faces,100_faces_100_each,inverted,faces_29
29,0.746875,faces,100_faces_100_each,inverted,faces_30
30,0.906875,faces,100_faces_100_each,upright,faces_1
31,0.928125,faces,100_faces_100_each,upright,faces_2
32,0.980625,faces,100_faces_100_each,upright,faces_3
33,0.990625,faces,100_faces_100_each,upright,faces_4
34,0.9925,faces,100_faces_100_each,upright,faces_5
35,0.993125,faces,100_faces_100_each,upright,faces_6
36,0.965,faces,100_faces_100_each,upright,faces_7
37,0.98125,faces,100_faces_100_each,upright,faces_8
38,0.995625,faces,100_faces_100_each,upright,faces_9
39,0.9775,faces,100_faces_100_each,upright,faces_10
40,0.995,faces,100_faces_100_each,upright,faces_11
41,0.948125,faces,100_faces_100_each,upright,faces_12
42,0.9475,faces,100_faces_100_each,upright,faces_13
43,0.975625,faces,100_faces_100_each,upright,faces_14
44,0.98625,faces,100_faces_100_each,upright,faces_15
45,0.960625,faces,100_faces_100_each,upright,faces_16
46,0.975,faces,100_faces_100_each,upright,faces_17
47,0.928125,faces,100_faces_100_each,upright,faces_18
48,0.9525,faces,100_faces_100_each,upright,faces_19
49,0.94875,faces,100_faces_100_each,upright,faces_20
50,0.951875,faces,100_faces_100_each,upright,faces_21
51,0.964375,faces,100_faces_100_each,upright,faces_22
52,0.95125,faces,100_faces_100_each,upright,faces_23
53,0.98375,faces,100_faces_100_each,upright,faces_24
54,0.958125,faces,100_faces_100_each,upright,faces_25
55,0.975,faces,100_faces_100_each,upright,faces_26
56,0.990625,faces,100_faces_100_each,upright,faces_27
57,0.9675,faces,100_faces_100_each,upright,faces_28
58,0.97125,faces,100_faces_100_each,upright,faces_29
59,0.95625,faces,100_faces_100_each,upright,faces_30
60,0.6437499999999999,faces,100_objects_100_each,inverted,faces_1
61,0.6375,faces,100_objects_100_each,inverted,faces_2
62,0.6537499999999999,faces,100_objects_100_each,inverted,faces_3
63,0.764375,faces,100_objects_100_each,inverted,faces_4
64,0.42,faces,100_objects_100_each,inverted,faces_5
65,0.6025,faces,100_objects_100_each,inverted,faces_6
66,0.5187499999999999,faces,100_objects_100_each,inverted,faces_7
67,0.57,faces,100_objects_100_each,inverted,faces_8
68,0.6662499999999999,faces,100_objects_100_each,inverted,faces_9
69,0.4556249999999999,faces,100_objects_100_each,inverted,faces_10
70,0.49875,faces,100_objects_100_each,inverted,faces_11
71,0.531875,faces,100_objects_100_each,inverted,faces_12
72,0.589375,faces,100_objects_100_each,inverted,faces_13
73,0.63375,faces,100_objects_100_each,inverted,faces_14
74,0.470625,faces,100_objects_100_each,inverted,faces_15
75,0.6525,faces,100_objects_100_each,inverted,faces_16
76,0.6287499999999999,faces,100_objects_100_each,inverted,faces_17
77,0.61625,faces,100_objects_100_each,inverted,faces_18
78,0.58375,faces,100_objects_100_each,inverted,faces_19
79,0.560625,faces,100_objects_100_each,inverted,faces_20
80,0.5606249999999999,faces,100_objects_100_each,inverted,faces_21
81,0.56375,faces,100_objects_100_each,inverted,faces_22
82,0.5868749999999999,faces,100_objects_100_each,inverted,faces_23
83,0.5693750000000001,faces,100_objects_100_each,inverted,faces_24
84,0.6675,faces,100_objects_100_each,inverted,faces_25
85,0.59625,faces,100_objects_100_each,inverted,faces_26
86,0.55375,faces,100_objects_100_each,inverted,faces_27
87,0.5818750000000001,faces,100_objects_100_each,inverted,faces_28
88,0.5906250000000001,faces,100_objects_100_each,inverted,faces_29
89,0.501875,faces,100_objects_100_each,inverted,faces_30
90,0.59875,faces,100_objects_100_each,upright,faces_1
91,0.65375,faces,100_objects_100_each,upright,faces_2
92,0.544375,faces,100_objects_100_each,upright,faces_3
93,0.6075,faces,100_objects_100_each,upright,faces_4
94,0.568125,faces,100_objects_100_each,upright,faces_5
95,0.546875,faces,100_objects_100_each,upright,faces_6
96,0.53125,faces,100_objects_100_each,upright,faces_7
97,0.613125,faces,100_objects_100_each,upright,faces_8
98,0.6018749999999999,faces,100_objects_100_each,upright,faces_9
99,0.5906250000000001,faces,100_objects_100_each,upright,faces_10
