,id,auc,dcnn_domain,img_domain,orientation
0,faces_1,0.656875,faces,100_faces_100_each,inverted
1,faces_2,0.7975,faces,100_faces_100_each,inverted
2,faces_3,0.74375,faces,100_faces_100_each,inverted
3,faces_4,0.673125,faces,100_faces_100_each,inverted
4,faces_5,0.600625,faces,100_faces_100_each,inverted
5,faces_6,0.645,faces,100_faces_100_each,inverted
6,faces_7,0.758125,faces,100_faces_100_each,inverted
7,faces_8,0.74125,faces,100_faces_100_each,inverted
8,faces_9,0.763125,faces,100_faces_100_each,inverted
9,faces_10,0.72875,faces,100_faces_100_each,inverted
10,faces_11,0.790625,faces,100_faces_100_each,inverted
11,faces_12,0.7175,faces,100_faces_100_each,inverted
12,faces_13,0.7756249999999999,faces,100_faces_100_each,inverted
13,faces_14,0.725,faces,100_faces_100_each,inverted
14,faces_15,0.799375,faces,100_faces_100_each,inverted
15,faces_16,0.79125,faces,100_faces_100_each,inverted
16,faces_17,0.764375,faces,100_faces_100_each,inverted
17,faces_18,0.80375,faces,100_faces_100_each,inverted
18,faces_19,0.649375,faces,100_faces_100_each,inverted
19,faces_20,0.729375,faces,100_faces_100_each,inverted
20,faces_21,0.66,faces,100_faces_100_each,inverted
21,faces_22,0.64,faces,100_faces_100_each,inverted
22,faces_23,0.6062500000000001,faces,100_faces_100_each,inverted
23,faces_24,0.7312500000000001,faces,100_faces_100_each,inverted
24,faces_25,0.745625,faces,100_faces_100_each,inverted
25,faces_26,0.765625,faces,100_faces_100_each,inverted
26,faces_27,0.7262500000000001,faces,100_faces_100_each,inverted
27,faces_28,0.71125,faces,100_faces_100_each,inverted
28,faces_29,0.73875,faces,100_faces_100_each,inverted
29,faces_30,0.746875,faces,100_faces_100_each,inverted
