,id,auc,dcnn_domain,img_domain,orientation
0,faces_1,0.9068750000000001,faces,100_faces_100_each,upright
1,faces_2,0.928125,faces,100_faces_100_each,upright
2,faces_3,0.980625,faces,100_faces_100_each,upright
3,faces_4,0.9906250000000001,faces,100_faces_100_each,upright
4,faces_5,0.9925,faces,100_faces_100_each,upright
5,faces_6,0.9931249999999999,faces,100_faces_100_each,upright
6,faces_7,0.965,faces,100_faces_100_each,upright
7,faces_8,0.98125,faces,100_faces_100_each,upright
8,faces_9,0.995625,faces,100_faces_100_each,upright
9,faces_10,0.9775,faces,100_faces_100_each,upright
10,faces_11,0.995,faces,100_faces_100_each,upright
11,faces_12,0.948125,faces,100_faces_100_each,upright
12,faces_13,0.9475,faces,100_faces_100_each,upright
13,faces_14,0.975625,faces,100_faces_100_each,upright
14,faces_15,0.98625,faces,100_faces_100_each,upright
15,faces_16,0.9606250000000001,faces,100_faces_100_each,upright
16,faces_17,0.9750000000000001,faces,100_faces_100_each,upright
17,faces_18,0.928125,faces,100_faces_100_each,upright
18,faces_19,0.9525,faces,100_faces_100_each,upright
19,faces_20,0.94875,faces,100_faces_100_each,upright
20,faces_21,0.951875,faces,100_faces_100_each,upright
21,faces_22,0.964375,faces,100_faces_100_each,upright
22,faces_23,0.95125,faces,100_faces_100_each,upright
23,faces_24,0.9837499999999999,faces,100_faces_100_each,upright
24,faces_25,0.9581249999999999,faces,100_faces_100_each,upright
25,faces_26,0.975,faces,100_faces_100_each,upright
26,faces_27,0.9906250000000001,faces,100_faces_100_each,upright
27,faces_28,0.9675,faces,100_faces_100_each,upright
28,faces_29,0.9712500000000001,faces,100_faces_100_each,upright
29,faces_30,0.95625,faces,100_faces_100_each,upright
