,id,auc,dcnn_domain,img_domain,orientation
0,faces_1,0.6437499999999999,faces,100_objects_100_each,inverted
1,faces_2,0.6375,faces,100_objects_100_each,inverted
2,faces_3,0.6537499999999999,faces,100_objects_100_each,inverted
3,faces_4,0.764375,faces,100_objects_100_each,inverted
4,faces_5,0.42000000000000004,faces,100_objects_100_each,inverted
5,faces_6,0.6025,faces,100_objects_100_each,inverted
6,faces_7,0.5187499999999999,faces,100_objects_100_each,inverted
7,faces_8,0.57,faces,100_objects_100_each,inverted
8,faces_9,0.6662499999999999,faces,100_objects_100_each,inverted
9,faces_10,0.45562499999999995,faces,100_objects_100_each,inverted
10,faces_11,0.49875,faces,100_objects_100_each,inverted
11,faces_12,0.531875,faces,100_objects_100_each,inverted
12,faces_13,0.589375,faces,100_objects_100_each,inverted
13,faces_14,0.63375,faces,100_objects_100_each,inverted
14,faces_15,0.470625,faces,100_objects_100_each,inverted
15,faces_16,0.6525,faces,100_objects_100_each,inverted
16,faces_17,0.6287499999999999,faces,100_objects_100_each,inverted
17,faces_18,0.61625,faces,100_objects_100_each,inverted
18,faces_19,0.58375,faces,100_objects_100_each,inverted
19,faces_20,0.560625,faces,100_objects_100_each,inverted
20,faces_21,0.5606249999999999,faces,100_objects_100_each,inverted
21,faces_22,0.56375,faces,100_objects_100_each,inverted
22,faces_23,0.5868749999999999,faces,100_objects_100_each,inverted
23,faces_24,0.5693750000000001,faces,100_objects_100_each,inverted
24,faces_25,0.6675,faces,100_objects_100_each,inverted
25,faces_26,0.59625,faces,100_objects_100_each,inverted
26,faces_27,0.55375,faces,100_objects_100_each,inverted
27,faces_28,0.5818750000000001,faces,100_objects_100_each,inverted
28,faces_29,0.5906250000000001,faces,100_objects_100_each,inverted
29,faces_30,0.501875,faces,100_objects_100_each,inverted
