,id,auc,dcnn_domain,img_domain,orientation
0,faces_1,0.59875,faces,100_objects_100_each,upright
1,faces_2,0.65375,faces,100_objects_100_each,upright
2,faces_3,0.544375,faces,100_objects_100_each,upright
3,faces_4,0.6075,faces,100_objects_100_each,upright
4,faces_5,0.568125,faces,100_objects_100_each,upright
5,faces_6,0.546875,faces,100_objects_100_each,upright
6,faces_7,0.53125,faces,100_objects_100_each,upright
7,faces_8,0.613125,faces,100_objects_100_each,upright
8,faces_9,0.6018749999999999,faces,100_objects_100_each,upright
9,faces_10,0.5906250000000001,faces,100_objects_100_each,upright
10,faces_11,0.588125,faces,100_objects_100_each,upright
11,faces_12,0.5762499999999999,faces,100_objects_100_each,upright
12,faces_13,0.6068749999999999,faces,100_objects_100_each,upright
13,faces_14,0.53125,faces,100_objects_100_each,upright
14,faces_15,0.49687499999999996,faces,100_objects_100_each,upright
15,faces_16,0.621875,faces,100_objects_100_each,upright
16,faces_17,0.5687500000000001,faces,100_objects_100_each,upright
17,faces_18,0.590625,faces,100_objects_100_each,upright
18,faces_19,0.616875,faces,100_objects_100_each,upright
19,faces_20,0.5825,faces,100_objects_100_each,upright
20,faces_21,0.4925,faces,100_objects_100_each,upright
21,faces_22,0.60375,faces,100_objects_100_each,upright
22,faces_23,0.51,faces,100_objects_100_each,upright
23,faces_24,0.548125,faces,100_objects_100_each,upright
24,faces_25,0.5625,faces,100_objects_100_each,upright
25,faces_26,0.669375,faces,100_objects_100_each,upright
26,faces_27,0.641875,faces,100_objects_100_each,upright
27,faces_28,0.606875,faces,100_objects_100_each,upright
28,faces_29,0.47375,faces,100_objects_100_each,upright
29,faces_30,0.5037499999999999,faces,100_objects_100_each,upright
