,id,auc,dcnn_domain,img_domain,orientation
0,faces_1,0.5237499999999999,faces,hands_both_bg_unbalanced,inverted
1,faces_2,0.5487500000000001,faces,hands_both_bg_unbalanced,inverted
2,faces_3,0.5293749999999999,faces,hands_both_bg_unbalanced,inverted
3,faces_4,0.519375,faces,hands_both_bg_unbalanced,inverted
4,faces_5,0.55375,faces,hands_both_bg_unbalanced,inverted
5,faces_6,0.4,faces,hands_both_bg_unbalanced,inverted
6,faces_7,0.375,faces,hands_both_bg_unbalanced,inverted
7,faces_8,0.535625,faces,hands_both_bg_unbalanced,inverted
8,faces_9,0.63,faces,hands_both_bg_unbalanced,inverted
9,faces_10,0.644375,faces,hands_both_bg_unbalanced,inverted
10,faces_11,0.42125,faces,hands_both_bg_unbalanced,inverted
11,faces_12,0.39999999999999997,faces,hands_both_bg_unbalanced,inverted
12,faces_13,0.524375,faces,hands_both_bg_unbalanced,inverted
13,faces_14,0.56375,faces,hands_both_bg_unbalanced,inverted
14,faces_15,0.405,faces,hands_both_bg_unbalanced,inverted
15,faces_16,0.36625,faces,hands_both_bg_unbalanced,inverted
16,faces_17,0.5293749999999999,faces,hands_both_bg_unbalanced,inverted
17,faces_18,0.49375,faces,hands_both_bg_unbalanced,inverted
18,faces_19,0.5643750000000001,faces,hands_both_bg_unbalanced,inverted
19,faces_20,0.39937500000000004,faces,hands_both_bg_unbalanced,inverted
20,faces_21,0.56625,faces,hands_both_bg_unbalanced,inverted
21,faces_22,0.6312500000000001,faces,hands_both_bg_unbalanced,inverted
22,faces_23,0.62875,faces,hands_both_bg_unbalanced,inverted
23,faces_24,0.44937499999999997,faces,hands_both_bg_unbalanced,inverted
24,faces_25,0.44625000000000004,faces,hands_both_bg_unbalanced,inverted
25,faces_26,0.49999999999999994,faces,hands_both_bg_unbalanced,inverted
26,faces_27,0.50125,faces,hands_both_bg_unbalanced,inverted
27,faces_28,0.48,faces,hands_both_bg_unbalanced,inverted
28,faces_29,0.581875,faces,hands_both_bg_unbalanced,inverted
29,faces_30,0.37999999999999995,faces,hands_both_bg_unbalanced,inverted
