,id,auc,dcnn_domain,img_domain,orientation
0,hands_both_1,0.490625,hands_both,100_faces_100_each,inverted
1,hands_both_2,0.561875,hands_both,100_faces_100_each,inverted
2,hands_both_3,0.42437500000000006,hands_both,100_faces_100_each,inverted
3,hands_both_4,0.42625,hands_both,100_faces_100_each,inverted
4,hands_both_5,0.525625,hands_both,100_faces_100_each,inverted
5,hands_both_6,0.534375,hands_both,100_faces_100_each,inverted
6,hands_both_7,0.480625,hands_both,100_faces_100_each,inverted
7,hands_both_8,0.460625,hands_both,100_faces_100_each,inverted
8,hands_both_9,0.5225,hands_both,100_faces_100_each,inverted
9,hands_both_10,0.56125,hands_both,100_faces_100_each,inverted
10,hands_both_11,0.4724999999999999,hands_both,100_faces_100_each,inverted
11,hands_both_12,0.5606249999999999,hands_both,100_faces_100_each,inverted
12,hands_both_13,0.583125,hands_both,100_faces_100_each,inverted
13,hands_both_14,0.42937500000000006,hands_both,100_faces_100_each,inverted
14,hands_both_15,0.47624999999999995,hands_both,100_faces_100_each,inverted
15,hands_both_16,0.575625,hands_both,100_faces_100_each,inverted
16,hands_both_17,0.5493750000000001,hands_both,100_faces_100_each,inverted
17,hands_both_18,0.569375,hands_both,100_faces_100_each,inverted
18,hands_both_19,0.573125,hands_both,100_faces_100_each,inverted
19,hands_both_20,0.5487500000000001,hands_both,100_faces_100_each,inverted
20,hands_both_21,0.4,hands_both,100_faces_100_each,inverted
21,hands_both_22,0.5250000000000001,hands_both,100_faces_100_each,inverted
22,hands_both_23,0.5850000000000001,hands_both,100_faces_100_each,inverted
23,hands_both_24,0.436875,hands_both,100_faces_100_each,inverted
24,hands_both_25,0.555,hands_both,100_faces_100_each,inverted
25,hands_both_26,0.515625,hands_both,100_faces_100_each,inverted
26,hands_both_27,0.57125,hands_both,100_faces_100_each,inverted
27,hands_both_28,0.5787500000000001,hands_both,100_faces_100_each,inverted
28,hands_both_29,0.519375,hands_both,100_faces_100_each,inverted
29,hands_both_30,0.6106250000000001,hands_both,100_faces_100_each,inverted
