,id,auc,dcnn_domain,img_domain,orientation
0,hands_both_1,0.51625,hands_both,100_faces_100_each,upright
1,hands_both_2,0.45937500000000003,hands_both,100_faces_100_each,upright
2,hands_both_3,0.50125,hands_both,100_faces_100_each,upright
3,hands_both_4,0.5325,hands_both,100_faces_100_each,upright
4,hands_both_5,0.473125,hands_both,100_faces_100_each,upright
5,hands_both_6,0.583125,hands_both,100_faces_100_each,upright
6,hands_both_7,0.608125,hands_both,100_faces_100_each,upright
7,hands_both_8,0.60875,hands_both,100_faces_100_each,upright
8,hands_both_9,0.644375,hands_both,100_faces_100_each,upright
9,hands_both_10,0.545,hands_both,100_faces_100_each,upright
10,hands_both_11,0.4774999999999999,hands_both,100_faces_100_each,upright
11,hands_both_12,0.6493749999999999,hands_both,100_faces_100_each,upright
12,hands_both_13,0.479375,hands_both,100_faces_100_each,upright
13,hands_both_14,0.62,hands_both,100_faces_100_each,upright
14,hands_both_15,0.4875,hands_both,100_faces_100_each,upright
15,hands_both_16,0.530625,hands_both,100_faces_100_each,upright
16,hands_both_17,0.389375,hands_both,100_faces_100_each,upright
17,hands_both_18,0.48625000000000007,hands_both,100_faces_100_each,upright
18,hands_both_19,0.661875,hands_both,100_faces_100_each,upright
19,hands_both_20,0.4025,hands_both,100_faces_100_each,upright
20,hands_both_21,0.48937500000000006,hands_both,100_faces_100_each,upright
21,hands_both_22,0.57875,hands_both,100_faces_100_each,upright
22,hands_both_23,0.503125,hands_both,100_faces_100_each,upright
23,hands_both_24,0.45875,hands_both,100_faces_100_each,upright
24,hands_both_25,0.54125,hands_both,100_faces_100_each,upright
25,hands_both_26,0.42437499999999995,hands_both,100_faces_100_each,upright
26,hands_both_27,0.5931250000000001,hands_both,100_faces_100_each,upright
27,hands_both_28,0.50125,hands_both,100_faces_100_each,upright
28,hands_both_29,0.58125,hands_both,100_faces_100_each,upright
29,hands_both_30,0.40375,hands_both,100_faces_100_each,upright
