,id,auc,dcnn_domain,img_domain,orientation
0,hands_both_1,0.5,hands_both,100_objects_100_each,inverted
1,hands_both_2,0.535625,hands_both,100_objects_100_each,inverted
2,hands_both_3,0.524375,hands_both,100_objects_100_each,inverted
3,hands_both_4,0.56125,hands_both,100_objects_100_each,inverted
4,hands_both_5,0.6025,hands_both,100_objects_100_each,inverted
5,hands_both_6,0.661875,hands_both,100_objects_100_each,inverted
6,hands_both_7,0.5875,hands_both,100_objects_100_each,inverted
7,hands_both_8,0.67625,hands_both,100_objects_100_each,inverted
8,hands_both_9,0.60875,hands_both,100_objects_100_each,inverted
9,hands_both_10,0.49875,hands_both,100_objects_100_each,inverted
10,hands_both_11,0.5125000000000001,hands_both,100_objects_100_each,inverted
11,hands_both_12,0.565625,hands_both,100_objects_100_each,inverted
12,hands_both_13,0.5093749999999999,hands_both,100_objects_100_each,inverted
13,hands_both_14,0.581875,hands_both,100_objects_100_each,inverted
14,hands_both_15,0.533125,hands_both,100_objects_100_each,inverted
15,hands_both_16,0.6275000000000001,hands_both,100_objects_100_each,inverted
16,hands_both_17,0.55,hands_both,100_objects_100_each,inverted
17,hands_both_18,0.41187500000000005,hands_both,100_objects_100_each,inverted
18,hands_both_19,0.516875,hands_both,100_objects_100_each,inverted
19,hands_both_20,0.548125,hands_both,100_objects_100_each,inverted
20,hands_both_21,0.6037500000000001,hands_both,100_objects_100_each,inverted
21,hands_both_22,0.5606249999999999,hands_both,100_objects_100_each,inverted
22,hands_both_23,0.435,hands_both,100_objects_100_each,inverted
23,hands_both_24,0.6150000000000001,hands_both,100_objects_100_each,inverted
24,hands_both_25,0.5725,hands_both,100_objects_100_each,inverted
25,hands_both_26,0.42687499999999995,hands_both,100_objects_100_each,inverted
26,hands_both_27,0.5706249999999999,hands_both,100_objects_100_each,inverted
27,hands_both_28,0.446875,hands_both,100_objects_100_each,inverted
28,hands_both_29,0.59375,hands_both,100_objects_100_each,inverted
29,hands_both_30,0.56125,hands_both,100_objects_100_each,inverted
