,id,auc,dcnn_domain,img_domain,orientation
0,hands_both_1,0.5981249999999999,hands_both,100_objects_100_each,upright
1,hands_both_2,0.51375,hands_both,100_objects_100_each,upright
2,hands_both_3,0.54,hands_both,100_objects_100_each,upright
3,hands_both_4,0.5875,hands_both,100_objects_100_each,upright
4,hands_both_5,0.4625,hands_both,100_objects_100_each,upright
5,hands_both_6,0.560625,hands_both,100_objects_100_each,upright
6,hands_both_7,0.64375,hands_both,100_objects_100_each,upright
7,hands_both_8,0.519375,hands_both,100_objects_100_each,upright
8,hands_both_9,0.5768749999999999,hands_both,100_objects_100_each,upright
9,hands_both_10,0.498125,hands_both,100_objects_100_each,upright
10,hands_both_11,0.5375,hands_both,100_objects_100_each,upright
11,hands_both_12,0.5249999999999999,hands_both,100_objects_100_each,upright
12,hands_both_13,0.43937499999999996,hands_both,100_objects_100_each,upright
13,hands_both_14,0.6525,hands_both,100_objects_100_each,upright
14,hands_both_15,0.5625,hands_both,100_objects_100_each,upright
15,hands_both_16,0.576875,hands_both,100_objects_100_each,upright
16,hands_both_17,0.5700000000000001,hands_both,100_objects_100_each,upright
17,hands_both_18,0.539375,hands_both,100_objects_100_each,upright
18,hands_both_19,0.499375,hands_both,100_objects_100_each,upright
19,hands_both_20,0.5843750000000001,hands_both,100_objects_100_each,upright
20,hands_both_21,0.566875,hands_both,100_objects_100_each,upright
21,hands_both_22,0.4825,hands_both,100_objects_100_each,upright
22,hands_both_23,0.45375,hands_both,100_objects_100_each,upright
23,hands_both_24,0.5087499999999999,hands_both,100_objects_100_each,upright
24,hands_both_25,0.5125,hands_both,100_objects_100_each,upright
25,hands_both_26,0.4743749999999999,hands_both,100_objects_100_each,upright
26,hands_both_27,0.5875,hands_both,100_objects_100_each,upright
27,hands_both_28,0.686875,hands_both,100_objects_100_each,upright
28,hands_both_29,0.65625,hands_both,100_objects_100_each,upright
29,hands_both_30,0.48562500000000003,hands_both,100_objects_100_each,upright
