,id,auc,dcnn_domain,img_domain,orientation
0,hands_both_1,0.74375,hands_both,hands_both_bg_unbalanced,inverted
1,hands_both_2,0.7043750000000001,hands_both,hands_both_bg_unbalanced,inverted
2,hands_both_3,0.75625,hands_both,hands_both_bg_unbalanced,inverted
3,hands_both_4,0.568125,hands_both,hands_both_bg_unbalanced,inverted
4,hands_both_5,0.655625,hands_both,hands_both_bg_unbalanced,inverted
5,hands_both_6,0.6212500000000001,hands_both,hands_both_bg_unbalanced,inverted
6,hands_both_7,0.8049999999999999,hands_both,hands_both_bg_unbalanced,inverted
7,hands_both_8,0.7124999999999999,hands_both,hands_both_bg_unbalanced,inverted
8,hands_both_9,0.69,hands_both,hands_both_bg_unbalanced,inverted
9,hands_both_10,0.65125,hands_both,hands_both_bg_unbalanced,inverted
10,hands_both_11,0.72875,hands_both,hands_both_bg_unbalanced,inverted
11,hands_both_12,0.7475,hands_both,hands_both_bg_unbalanced,inverted
12,hands_both_13,0.755,hands_both,hands_both_bg_unbalanced,inverted
13,hands_both_14,0.72875,hands_both,hands_both_bg_unbalanced,inverted
14,hands_both_15,0.6693749999999999,hands_both,hands_both_bg_unbalanced,inverted
15,hands_both_16,0.78,hands_both,hands_both_bg_unbalanced,inverted
16,hands_both_17,0.654375,hands_both,hands_both_bg_unbalanced,inverted
17,hands_both_18,0.71,hands_both,hands_both_bg_unbalanced,inverted
18,hands_both_19,0.73375,hands_both,hands_both_bg_unbalanced,inverted
19,hands_both_20,0.656875,hands_both,hands_both_bg_unbalanced,inverted
20,hands_both_21,0.7893749999999999,hands_both,hands_both_bg_unbalanced,inverted
21,hands_both_22,0.7575000000000001,hands_both,hands_both_bg_unbalanced,inverted
22,hands_both_23,0.6987500000000001,hands_both,hands_both_bg_unbalanced,inverted
23,hands_both_24,0.550625,hands_both,hands_both_bg_unbalanced,inverted
24,hands_both_25,0.6749999999999999,hands_both,hands_both_bg_unbalanced,inverted
25,hands_both_26,0.749375,hands_both,hands_both_bg_unbalanced,inverted
26,hands_both_27,0.66,hands_both,hands_both_bg_unbalanced,inverted
27,hands_both_28,0.7312500000000001,hands_both,hands_both_bg_unbalanced,inverted
28,hands_both_29,0.76625,hands_both,hands_both_bg_unbalanced,inverted
29,hands_both_30,0.788125,hands_both,hands_both_bg_unbalanced,inverted
