,id,auc,dcnn_domain,img_domain,orientation
0,hands_both_1,0.995625,hands_both,hands_both_bg_unbalanced,upright
1,hands_both_2,0.995,hands_both,hands_both_bg_unbalanced,upright
2,hands_both_3,0.9862500000000001,hands_both,hands_both_bg_unbalanced,upright
3,hands_both_4,0.99,hands_both,hands_both_bg_unbalanced,upright
4,hands_both_5,0.9850000000000001,hands_both,hands_both_bg_unbalanced,upright
5,hands_both_6,0.9762500000000001,hands_both,hands_both_bg_unbalanced,upright
6,hands_both_7,0.988125,hands_both,hands_both_bg_unbalanced,upright
7,hands_both_8,0.96,hands_both,hands_both_bg_unbalanced,upright
8,hands_both_9,0.970625,hands_both,hands_both_bg_unbalanced,upright
9,hands_both_10,0.966875,hands_both,hands_both_bg_unbalanced,upright
10,hands_both_11,0.9906250000000001,hands_both,hands_both_bg_unbalanced,upright
11,hands_both_12,0.9818749999999999,hands_both,hands_both_bg_unbalanced,upright
12,hands_both_13,0.9693750000000001,hands_both,hands_both_bg_unbalanced,upright
13,hands_both_14,0.993125,hands_both,hands_both_bg_unbalanced,upright
14,hands_both_15,0.991875,hands_both,hands_both_bg_unbalanced,upright
15,hands_both_16,0.9562499999999999,hands_both,hands_both_bg_unbalanced,upright
16,hands_both_17,0.9668749999999999,hands_both,hands_both_bg_unbalanced,upright
17,hands_both_18,0.995,hands_both,hands_both_bg_unbalanced,upright
18,hands_both_19,0.97375,hands_both,hands_both_bg_unbalanced,upright
19,hands_both_20,0.9575,hands_both,hands_both_bg_unbalanced,upright
20,hands_both_21,0.994375,hands_both,hands_both_bg_unbalanced,upright
21,hands_both_22,0.9875,hands_both,hands_both_bg_unbalanced,upright
22,hands_both_23,0.954375,hands_both,hands_both_bg_unbalanced,upright
23,hands_both_24,0.97875,hands_both,hands_both_bg_unbalanced,upright
24,hands_both_25,0.9725,hands_both,hands_both_bg_unbalanced,upright
25,hands_both_26,0.9637499999999999,hands_both,hands_both_bg_unbalanced,upright
26,hands_both_27,0.9881249999999999,hands_both,hands_both_bg_unbalanced,upright
27,hands_both_28,0.99125,hands_both,hands_both_bg_unbalanced,upright
28,hands_both_29,0.9700000000000001,hands_both,hands_both_bg_unbalanced,upright
29,hands_both_30,0.983125,hands_both,hands_both_bg_unbalanced,upright
