,id,auc,dcnn_domain,img_domain,orientation
0,objects_1,0.6325,objects,100_faces_100_each,inverted
1,objects_2,0.534375,objects,100_faces_100_each,inverted
2,objects_3,0.553125,objects,100_faces_100_each,inverted
3,objects_4,0.61625,objects,100_faces_100_each,inverted
4,objects_5,0.5543750000000001,objects,100_faces_100_each,inverted
5,objects_6,0.585625,objects,100_faces_100_each,inverted
6,objects_7,0.62625,objects,100_faces_100_each,inverted
7,objects_8,0.590625,objects,100_faces_100_each,inverted
8,objects_9,0.504375,objects,100_faces_100_each,inverted
9,objects_10,0.420625,objects,100_faces_100_each,inverted
10,objects_11,0.67875,objects,100_faces_100_each,inverted
11,objects_12,0.6181249999999999,objects,100_faces_100_each,inverted
12,objects_13,0.640625,objects,100_faces_100_each,inverted
13,objects_14,0.5275000000000001,objects,100_faces_100_each,inverted
14,objects_15,0.47375,objects,100_faces_100_each,inverted
15,objects_16,0.619375,objects,100_faces_100_each,inverted
16,objects_17,0.595,objects,100_faces_100_each,inverted
17,objects_18,0.614375,objects,100_faces_100_each,inverted
18,objects_19,0.5762499999999999,objects,100_faces_100_each,inverted
19,objects_20,0.63875,objects,100_faces_100_each,inverted
20,objects_21,0.6475,objects,100_faces_100_each,inverted
21,objects_22,0.651875,objects,100_faces_100_each,inverted
22,objects_23,0.6525,objects,100_faces_100_each,inverted
23,objects_24,0.53125,objects,100_faces_100_each,inverted
24,objects_25,0.6725,objects,100_faces_100_each,inverted
25,objects_26,0.6306250000000001,objects,100_faces_100_each,inverted
26,objects_27,0.6525000000000001,objects,100_faces_100_each,inverted
27,objects_28,0.6225,objects,100_faces_100_each,inverted
28,objects_29,0.5756249999999999,objects,100_faces_100_each,inverted
29,objects_30,0.5875,objects,100_faces_100_each,inverted
