,id,auc,dcnn_domain,img_domain,orientation
0,objects_1,0.568125,objects,100_faces_100_each,upright
1,objects_2,0.494375,objects,100_faces_100_each,upright
2,objects_3,0.6025,objects,100_faces_100_each,upright
3,objects_4,0.49187499999999995,objects,100_faces_100_each,upright
4,objects_5,0.6881250000000001,objects,100_faces_100_each,upright
5,objects_6,0.67125,objects,100_faces_100_each,upright
6,objects_7,0.6093749999999999,objects,100_faces_100_each,upright
7,objects_8,0.56125,objects,100_faces_100_each,upright
8,objects_9,0.623125,objects,100_faces_100_each,upright
9,objects_10,0.60375,objects,100_faces_100_each,upright
10,objects_11,0.5318749999999999,objects,100_faces_100_each,upright
11,objects_12,0.69,objects,100_faces_100_each,upright
12,objects_13,0.6449999999999999,objects,100_faces_100_each,upright
13,objects_14,0.57,objects,100_faces_100_each,upright
14,objects_15,0.573125,objects,100_faces_100_each,upright
15,objects_16,0.5037499999999999,objects,100_faces_100_each,upright
16,objects_17,0.598125,objects,100_faces_100_each,upright
17,objects_18,0.458125,objects,100_faces_100_each,upright
18,objects_19,0.618125,objects,100_faces_100_each,upright
19,objects_20,0.621875,objects,100_faces_100_each,upright
20,objects_21,0.580625,objects,100_faces_100_each,upright
21,objects_22,0.626875,objects,100_faces_100_each,upright
22,objects_23,0.5118750000000001,objects,100_faces_100_each,upright
23,objects_24,0.540625,objects,100_faces_100_each,upright
24,objects_25,0.44437499999999996,objects,100_faces_100_each,upright
25,objects_26,0.614375,objects,100_faces_100_each,upright
26,objects_27,0.5743750000000001,objects,100_faces_100_each,upright
27,objects_28,0.6643749999999999,objects,100_faces_100_each,upright
28,objects_29,0.5718749999999999,objects,100_faces_100_each,upright
29,objects_30,0.675,objects,100_faces_100_each,upright
