,id,auc,dcnn_domain,img_domain,orientation
0,objects_1,0.918125,objects,100_objects_100_each,inverted
1,objects_2,0.9375,objects,100_objects_100_each,inverted
2,objects_3,0.91125,objects,100_objects_100_each,inverted
3,objects_4,0.85,objects,100_objects_100_each,inverted
4,objects_5,0.935,objects,100_objects_100_each,inverted
5,objects_6,0.9643750000000001,objects,100_objects_100_each,inverted
6,objects_7,0.9450000000000001,objects,100_objects_100_each,inverted
7,objects_8,0.846875,objects,100_objects_100_each,inverted
8,objects_9,0.931875,objects,100_objects_100_each,inverted
9,objects_10,0.958125,objects,100_objects_100_each,inverted
10,objects_11,0.940625,objects,100_objects_100_each,inverted
11,objects_12,0.8606250000000001,objects,100_objects_100_each,inverted
12,objects_13,0.8675,objects,100_objects_100_each,inverted
13,objects_14,0.8818750000000001,objects,100_objects_100_each,inverted
14,objects_15,0.901875,objects,100_objects_100_each,inverted
15,objects_16,0.8668750000000001,objects,100_objects_100_each,inverted
16,objects_17,0.9712500000000001,objects,100_objects_100_each,inverted
17,objects_18,0.9193749999999999,objects,100_objects_100_each,inverted
18,objects_19,0.924375,objects,100_objects_100_each,inverted
19,objects_20,0.85,objects,100_objects_100_each,inverted
20,objects_21,0.9275000000000001,objects,100_objects_100_each,inverted
21,objects_22,0.9437500000000001,objects,100_objects_100_each,inverted
22,objects_23,0.96375,objects,100_objects_100_each,inverted
23,objects_24,0.933125,objects,100_objects_100_each,inverted
24,objects_25,0.9143749999999999,objects,100_objects_100_each,inverted
25,objects_26,0.889375,objects,100_objects_100_each,inverted
26,objects_27,0.951875,objects,100_objects_100_each,inverted
27,objects_28,0.95625,objects,100_objects_100_each,inverted
28,objects_29,0.9187500000000001,objects,100_objects_100_each,inverted
29,objects_30,0.958125,objects,100_objects_100_each,inverted
