,id,auc,dcnn_domain,img_domain,orientation
0,objects_1,0.985625,objects,100_objects_100_each,upright
1,objects_2,0.963125,objects,100_objects_100_each,upright
2,objects_3,0.9762500000000001,objects,100_objects_100_each,upright
3,objects_4,0.985625,objects,100_objects_100_each,upright
4,objects_5,0.978125,objects,100_objects_100_each,upright
5,objects_6,0.9875,objects,100_objects_100_each,upright
6,objects_7,0.975,objects,100_objects_100_each,upright
7,objects_8,0.965,objects,100_objects_100_each,upright
8,objects_9,0.9906250000000001,objects,100_objects_100_each,upright
9,objects_10,0.98625,objects,100_objects_100_each,upright
10,objects_11,0.985625,objects,100_objects_100_each,upright
11,objects_12,0.9475,objects,100_objects_100_each,upright
12,objects_13,0.98,objects,100_objects_100_each,upright
13,objects_14,0.98375,objects,100_objects_100_each,upright
14,objects_15,0.9881249999999999,objects,100_objects_100_each,upright
15,objects_16,0.9537499999999999,objects,100_objects_100_each,upright
16,objects_17,0.986875,objects,100_objects_100_each,upright
17,objects_18,0.9981249999999999,objects,100_objects_100_each,upright
18,objects_19,0.9662499999999999,objects,100_objects_100_each,upright
19,objects_20,0.9693749999999999,objects,100_objects_100_each,upright
20,objects_21,0.9525,objects,100_objects_100_each,upright
21,objects_22,0.9606250000000001,objects,100_objects_100_each,upright
22,objects_23,0.993125,objects,100_objects_100_each,upright
23,objects_24,0.975625,objects,100_objects_100_each,upright
24,objects_25,0.95375,objects,100_objects_100_each,upright
25,objects_26,0.95375,objects,100_objects_100_each,upright
26,objects_27,0.965,objects,100_objects_100_each,upright
27,objects_28,0.970625,objects,100_objects_100_each,upright
28,objects_29,0.953125,objects,100_objects_100_each,upright
29,objects_30,0.98,objects,100_objects_100_each,upright
