,id,auc,dcnn_domain,img_domain,orientation
0,objects_1,0.536875,objects,hands_both_bg_unbalanced,inverted
1,objects_2,0.550625,objects,hands_both_bg_unbalanced,inverted
2,objects_3,0.56375,objects,hands_both_bg_unbalanced,inverted
3,objects_4,0.420625,objects,hands_both_bg_unbalanced,inverted
4,objects_5,0.52125,objects,hands_both_bg_unbalanced,inverted
5,objects_6,0.555,objects,hands_both_bg_unbalanced,inverted
6,objects_7,0.5981250000000001,objects,hands_both_bg_unbalanced,inverted
7,objects_8,0.5575,objects,hands_both_bg_unbalanced,inverted
8,objects_9,0.48,objects,hands_both_bg_unbalanced,inverted
9,objects_10,0.505,objects,hands_both_bg_unbalanced,inverted
10,objects_11,0.5431250000000001,objects,hands_both_bg_unbalanced,inverted
11,objects_12,0.478125,objects,hands_both_bg_unbalanced,inverted
12,objects_13,0.5606249999999999,objects,hands_both_bg_unbalanced,inverted
13,objects_14,0.528125,objects,hands_both_bg_unbalanced,inverted
14,objects_15,0.535625,objects,hands_both_bg_unbalanced,inverted
15,objects_16,0.473125,objects,hands_both_bg_unbalanced,inverted
16,objects_17,0.6187499999999999,objects,hands_both_bg_unbalanced,inverted
17,objects_18,0.495,objects,hands_both_bg_unbalanced,inverted
18,objects_19,0.525,objects,hands_both_bg_unbalanced,inverted
19,objects_20,0.573125,objects,hands_both_bg_unbalanced,inverted
20,objects_21,0.5774999999999999,objects,hands_both_bg_unbalanced,inverted
21,objects_22,0.44,objects,hands_both_bg_unbalanced,inverted
22,objects_23,0.514375,objects,hands_both_bg_unbalanced,inverted
23,objects_24,0.6900000000000001,objects,hands_both_bg_unbalanced,inverted
24,objects_25,0.600625,objects,hands_both_bg_unbalanced,inverted
25,objects_26,0.669375,objects,hands_both_bg_unbalanced,inverted
26,objects_27,0.57125,objects,hands_both_bg_unbalanced,inverted
27,objects_28,0.58625,objects,hands_both_bg_unbalanced,inverted
28,objects_29,0.524375,objects,hands_both_bg_unbalanced,inverted
29,objects_30,0.6018749999999999,objects,hands_both_bg_unbalanced,inverted
