,id,auc,dcnn_domain,img_domain,orientation
0,objects_1,0.49250000000000005,objects,hands_both_bg_unbalanced,upright
1,objects_2,0.6075,objects,hands_both_bg_unbalanced,upright
2,objects_3,0.48062499999999997,objects,hands_both_bg_unbalanced,upright
3,objects_4,0.583125,objects,hands_both_bg_unbalanced,upright
4,objects_5,0.48625000000000007,objects,hands_both_bg_unbalanced,upright
5,objects_6,0.46125000000000005,objects,hands_both_bg_unbalanced,upright
6,objects_7,0.63,objects,hands_both_bg_unbalanced,upright
7,objects_8,0.50375,objects,hands_both_bg_unbalanced,upright
8,objects_9,0.4675,objects,hands_both_bg_unbalanced,upright
9,objects_10,0.60375,objects,hands_both_bg_unbalanced,upright
10,objects_11,0.6243750000000001,objects,hands_both_bg_unbalanced,upright
11,objects_12,0.5325,objects,hands_both_bg_unbalanced,upright
12,objects_13,0.48,objects,hands_both_bg_unbalanced,upright
13,objects_14,0.6106250000000001,objects,hands_both_bg_unbalanced,upright
14,objects_15,0.53875,objects,hands_both_bg_unbalanced,upright
15,objects_16,0.59375,objects,hands_both_bg_unbalanced,upright
16,objects_17,0.511875,objects,hands_both_bg_unbalanced,upright
17,objects_18,0.48250000000000004,objects,hands_both_bg_unbalanced,upright
18,objects_19,0.563125,objects,hands_both_bg_unbalanced,upright
19,objects_20,0.4925,objects,hands_both_bg_unbalanced,upright
20,objects_21,0.57,objects,hands_both_bg_unbalanced,upright
21,objects_22,0.5225,objects,hands_both_bg_unbalanced,upright
22,objects_23,0.64,objects,hands_both_bg_unbalanced,upright
23,objects_24,0.49437500000000006,objects,hands_both_bg_unbalanced,upright
24,objects_25,0.5850000000000001,objects,hands_both_bg_unbalanced,upright
25,objects_26,0.515625,objects,hands_both_bg_unbalanced,upright
26,objects_27,0.4962500000000001,objects,hands_both_bg_unbalanced,upright
27,objects_28,0.593125,objects,hands_both_bg_unbalanced,upright
28,objects_29,0.5825000000000001,objects,hands_both_bg_unbalanced,upright
29,objects_30,0.60375,objects,hands_both_bg_unbalanced,upright
